VICTIM AGE,EDUCATION LEVEL,SOCIAL MEDIA PLATFORM,LOCATION (STATE),INCIDENT YEAR,TYPE OF HARASSMENT,DURATION (MONTHS),ACTION TAKEN,OUTCOME/RESULTS
44,Diploma,Twitter,Terengganu,2021,discussing their own sex life,10,Ignored,No action
43,Bachelor's Degree,Facebook,Pahang,2020,Indecent exposure,2,Ignored,Warning issued
42,Bachelor's Degree,TikTok,Sarawak,2019,Sexting,10,Ignored,User banned
24,Certification course,Other,Kuala Lumpur,2019,Sharing explicit images without consent,11,Ignored,User banned
18,Secondary School,Tinder,Kedah,2019,Sexting,5,Reported to platform,No action
38,High School,Twitter,Perlis,2019,Indecent exposure,4,Ignored,still continues
29,Bachelor's Degree,WhatsApp,Johor,2020,Threat,8,Reported to platform,still continues
24,High School,Instagram,Sabah,2021,Making sexual jokes,12,Ignored,No action
23,Bachelor's Degree,Bumble,Kedah,2018,discussing their own sex life,9,Reported to authorities,No action
40,Secondary School,Tinder,Negeri Sembilan,2020,Stalking,3,Reported to authorities,Warning issued
33,No Formal Education,TikTok,Melaka,2020,Be mindful of sharing personal information,9,Reported to platform,still continues
19,Bachelor's Degree,WhatsApp,Penang,2020,Threat,9,Reported to platform,Warning issued
25,High School,TikTok,Sarawak,2022,Be mindful of sharing personal information,7,Ignored,still continues
26,Diploma,Tinder,Sarawak,2018,Stalking,8,Reported to platform,User banned
22,Certification course,Instagram,Penang,2019,Spreading sexual rumours,1,Reported to authorities,still continues
36,Secondary School,Facebook,Kelantan,2022,Offensive name-calling,3,Reported to platform,No action
34,Diploma,Bumble,Johor,2019,Unwanted flirting,4,Ignored,Warning issued
43,Diploma,TikTok,Sabah,2020,discussing their own sex life,11,Blocked user,still continues
18,Bachelor's Degree,TikTok,Negeri Sembilan,2020,Stalking,6,Reported to authorities,User banned
40,Certification course,TikTok,Terengganu,2018,Unwanted flirting,12,Blocked user,still continues
36,High School,TikTok,Terengganu,2018,Be mindful of sharing personal information,2,Blocked user,Warning issued
45,Diploma,Twitter,Penang,2022,Sharing explicit images without consent,6,Ignored,No action
45,Certification course,Facebook,Selangor,2020,discussing their own sex life,8,Ignored,Warning issued
45,High School,Other,Kedah,2019,Threat,6,Blocked user,User banned
32,Certification course,TikTok,Kelantan,2021,discussing their own sex life,10,Reported to authorities,still continues
20,Secondary School,TikTok,Pahang,2018,discussing their own sex life,10,Blocked user,User banned
37,Bachelor's Degree,TikTok,Kelantan,2020,Sexual photos,2,Ignored,still continues
33,High School,Bumble,Negeri Sembilan,2020,Making sexual jokes,8,Reported to authorities,User banned
18,Diploma,Twitter,Kelantan,2018,Sexting,1,Blocked user,still continues
40,No Formal Education,Instagram,Kuala Lumpur,2020,Indecent exposure,6,Reported to platform,still continues
42,Bachelor's Degree,WhatsApp,Selangor,2022,discussing their own sex life,4,Reported to authorities,still continues
24,Diploma,Facebook,Penang,2019,Be mindful of sharing personal information,10,Blocked user,Warning issued
21,High School,Tinder,Negeri Sembilan,2022,Indecent exposure,7,Reported to authorities,still continues
43,Diploma,Other,Sarawak,2019,Indecent exposure,6,Reported to platform,Warning issued
37,Certification course,Tinder,Kuala Lumpur,2021,Requests for sex,5,Ignored,still continues
44,Secondary School,WhatsApp,Perak,2021,Indecent exposure,8,Blocked user,No action
21,Diploma,TikTok,Selangor,2022,Requests for sex,5,Reported to platform,still continues
28,No Formal Education,Twitter,Selangor,2019,discussing their own sex life,2,Blocked user,No action
32,No Formal Education,Twitter,Terengganu,2018,Unwanted flirting,2,Reported to platform,User banned
26,No Formal Education,Other,Kedah,2018,Making sexual jokes,9,Ignored,No action
35,Certification course,Twitter,Kuala Lumpur,2018,Indecent exposure,5,Reported to authorities,User banned
18,Bachelor's Degree,Bumble,Johor,2022,Comments about physical appearance,8,Reported to authorities,still continues
25,Bachelor's Degree,Instagram,Johor,2020,Requests for sex,12,Blocked user,still continues
44,Certification course,Twitter,Terengganu,2019,Sharing explicit images without consent,8,Reported to authorities,Warning issued
42,No Formal Education,Twitter,Sabah,2020,Spreading sexual rumours,4,Reported to platform,still continues
31,Diploma,Twitter,Pahang,2019,Comments about physical appearance,7,Reported to platform,Warning issued
44,High School,TikTok,Sabah,2020,Stalking,6,Blocked user,Warning issued
36,Secondary School,Other,Pahang,2018,Be mindful of sharing personal information,4,Reported to platform,still continues
45,Bachelor's Degree,Facebook,Sarawak,2019,Offensive name-calling,9,Ignored,Warning issued
41,Secondary School,WhatsApp,Kelantan,2019,Making sexual jokes,6,Ignored,User banned
20,Certification course,Other,Negeri Sembilan,2021,Offensive name-calling,1,Reported to authorities,User banned
32,Diploma,Twitter,Kelantan,2019,Threat,11,Reported to platform,No action
40,Certification course,Instagram,Kuala Lumpur,2021,Requests for sex,10,Blocked user,No action
43,Diploma,Tinder,Selangor,2019,Sexual photos,7,Blocked user,No action
39,No Formal Education,WhatsApp,Johor,2020,Spreading sexual rumours,5,Reported to platform,User banned
33,Bachelor's Degree,WhatsApp,Pahang,2021,Comments about physical appearance,11,Reported to authorities,Warning issued
41,Diploma,Bumble,Sarawak,2022,Sexual photos,3,Ignored,User banned
21,Bachelor's Degree,Tinder,Johor,2022,Unwanted flirting,1,Blocked user,Warning issued
39,No Formal Education,WhatsApp,Kelantan,2019,Making sexual jokes,2,Ignored,Warning issued
44,Diploma,Tinder,Penang,2022,Making sexual jokes,4,Blocked user,Warning issued
21,Bachelor's Degree,Tinder,Perlis,2018,Requests for sex,6,Reported to authorities,User banned
34,Bachelor's Degree,TikTok,Selangor,2022,Threat,8,Blocked user,Warning issued
26,Secondary School,Facebook,Sarawak,2021,Sexual photos,2,Ignored,User banned
33,Bachelor's Degree,WhatsApp,Perlis,2020,Sharing explicit images without consent,3,Blocked user,still continues
29,High School,Twitter,Kuala Lumpur,2020,discussing their own sex life,2,Blocked user,No action
22,Secondary School,Twitter,Penang,2020,Comments about physical appearance,12,Ignored,Warning issued
27,Bachelor's Degree,Twitter,Terengganu,2019,discussing their own sex life,10,Ignored,No action
20,High School,Instagram,Pahang,2019,Spreading sexual rumours,6,Reported to platform,No action
36,Bachelor's Degree,WhatsApp,Kedah,2018,Sexual photos,5,Reported to authorities,User banned
44,No Formal Education,Twitter,Sarawak,2019,Threat,5,Blocked user,still continues
21,Diploma,WhatsApp,Pahang,2020,Sexting,8,Ignored,User banned
20,Diploma,Other,Perlis,2018,Threat,4,Reported to platform,Warning issued
18,Certification course,WhatsApp,Perak,2019,Stalking,9,Ignored,still continues
18,Certification course,WhatsApp,Selangor,2022,Unwanted flirting,8,Ignored,still continues
40,Bachelor's Degree,Twitter,Perak,2019,Making sexual jokes,4,Reported to authorities,still continues
18,Bachelor's Degree,Twitter,Kedah,2019,Making sexual jokes,8,Blocked user,No action
44,Certification course,WhatsApp,Kuala Lumpur,2022,discussing their own sex life,3,Reported to authorities,User banned
42,No Formal Education,Other,Melaka,2018,Be mindful of sharing personal information,4,Reported to platform,still continues
44,Diploma,Facebook,Sarawak,2022,Be mindful of sharing personal information,7,Blocked user,still continues
38,Diploma,Twitter,Kelantan,2020,Sexual photos,2,Reported to platform,still continues
27,High School,Twitter,Pahang,2018,Unwanted flirting,3,Blocked user,User banned
27,Secondary School,WhatsApp,Selangor,2019,Indecent exposure,2,Ignored,Warning issued
37,No Formal Education,Other,Kelantan,2022,Sexting,4,Ignored,User banned
28,Diploma,Bumble,Kedah,2021,Unwanted flirting,12,Reported to authorities,still continues
41,Diploma,Twitter,Selangor,2022,Requests for sex,6,Ignored,still continues
24,Secondary School,Tinder,Sarawak,2020,Unwanted flirting,10,Ignored,still continues
36,Diploma,Instagram,Pahang,2018,discussing their own sex life,6,Reported to authorities,Warning issued
43,Bachelor's Degree,Other,Terengganu,2022,Requests for sex,2,Reported to authorities,still continues
29,Secondary School,Bumble,Negeri Sembilan,2020,Sexual photos,6,Reported to authorities,Warning issued
18,High School,Instagram,Sarawak,2022,Indecent exposure,9,Reported to authorities,still continues
18,Secondary School,TikTok,Kuala Lumpur,2020,Sexting,12,Ignored,User banned
32,High School,Facebook,Kedah,2018,Sexting,6,Blocked user,still continues
40,No Formal Education,Tinder,Sabah,2021,Sharing explicit images without consent,10,Reported to authorities,Warning issued
24,Certification course,TikTok,Melaka,2018,Be mindful of sharing personal information,6,Reported to platform,Warning issued
29,Certification course,TikTok,Penang,2019,Spreading sexual rumours,3,Reported to platform,User banned
23,No Formal Education,Instagram,Terengganu,2022,Sharing explicit images without consent,2,Reported to authorities,still continues
39,No Formal Education,Instagram,Selangor,2021,discussing their own sex life,4,Blocked user,User banned
39,Certification course,Facebook,Kelantan,2020,Comments about physical appearance,4,Reported to authorities,User banned
22,High School,Twitter,Penang,2018,Unwanted flirting,3,Ignored,No action
45,High School,Instagram,Negeri Sembilan,2020,discussing their own sex life,4,Blocked user,Warning issued
20,High School,TikTok,Perak,2020,Indecent exposure,5,Ignored,User banned
29,Secondary School,Facebook,Penang,2020,Sexting,11,Reported to platform,still continues
29,High School,Twitter,Penang,2019,Requests for sex,4,Ignored,No action
33,Secondary School,WhatsApp,Perlis,2021,Requests for sex,8,Ignored,No action
18,Certification course,Tinder,Kedah,2021,Sharing explicit images without consent,5,Ignored,No action
19,No Formal Education,TikTok,Kedah,2019,Offensive name-calling,3,Blocked user,No action
33,No Formal Education,Tinder,Kelantan,2019,Sexual photos,2,Ignored,User banned
19,High School,Other,Kelantan,2020,Unwanted flirting,5,Reported to authorities,User banned
43,No Formal Education,Tinder,Kedah,2018,Comments about physical appearance,11,Reported to platform,No action
40,Diploma,Twitter,Kelantan,2018,Threat,5,Blocked user,Warning issued
39,No Formal Education,Facebook,Terengganu,2018,Indecent exposure,8,Blocked user,still continues
23,Bachelor's Degree,Twitter,Melaka,2020,Stalking,4,Ignored,No action
30,No Formal Education,TikTok,Sabah,2019,discussing their own sex life,1,Reported to platform,still continues
40,Bachelor's Degree,Bumble,Kedah,2019,Spreading sexual rumours,6,Blocked user,User banned
18,No Formal Education,WhatsApp,Perlis,2020,discussing their own sex life,6,Reported to authorities,No action
32,Diploma,Twitter,Johor,2020,Sharing explicit images without consent,11,Reported to platform,No action
37,Diploma,Instagram,Johor,2022,Offensive name-calling,5,Reported to authorities,Warning issued
23,No Formal Education,TikTok,Melaka,2022,Requests for sex,6,Ignored,still continues
45,Secondary School,Bumble,Kedah,2021,Requests for sex,6,Blocked user,User banned
20,Certification course,Other,Penang,2020,Indecent exposure,4,Reported to authorities,User banned
20,Secondary School,Tinder,Kuala Lumpur,2018,Spreading sexual rumours,11,Reported to platform,No action
25,Bachelor's Degree,Facebook,Perak,2019,Spreading sexual rumours,5,Reported to authorities,No action
42,No Formal Education,Bumble,Kedah,2022,Be mindful of sharing personal information,9,Blocked user,No action
44,Diploma,Tinder,Terengganu,2021,discussing their own sex life,7,Blocked user,still continues
37,Diploma,TikTok,Terengganu,2020,Sexting,11,Ignored,User banned
29,No Formal Education,Other,Johor,2022,Sexting,5,Ignored,User banned
34,Diploma,Instagram,Sabah,2021,Stalking,11,Blocked user,User banned
41,Diploma,Other,Selangor,2019,Sharing explicit images without consent,9,Blocked user,User banned
19,High School,Other,Pahang,2019,Unwanted flirting,11,Reported to authorities,Warning issued
42,No Formal Education,Bumble,Johor,2018,Spreading sexual rumours,1,Ignored,User banned
36,Diploma,WhatsApp,Perak,2021,Be mindful of sharing personal information,10,Reported to platform,User banned
36,Bachelor's Degree,WhatsApp,Sabah,2022,Spreading sexual rumours,11,Ignored,still continues
21,Secondary School,Bumble,Sarawak,2019,Stalking,7,Blocked user,Warning issued
24,Certification course,Twitter,Kelantan,2021,Spreading sexual rumours,5,Reported to authorities,User banned
34,High School,Facebook,Selangor,2022,Making sexual jokes,2,Ignored,Warning issued
36,No Formal Education,Other,Terengganu,2018,Sexual photos,12,Reported to platform,User banned
21,Secondary School,Instagram,Pahang,2020,Requests for sex,10,Ignored,still continues
18,Diploma,Bumble,Sabah,2018,Offensive name-calling,2,Blocked user,No action
30,High School,Bumble,Sabah,2018,Indecent exposure,6,Ignored,Warning issued
36,Bachelor's Degree,Facebook,Sarawak,2021,Sexting,3,Reported to platform,still continues
44,Diploma,Instagram,Terengganu,2018,Requests for sex,7,Blocked user,Warning issued
20,No Formal Education,TikTok,Kuala Lumpur,2020,Unwanted flirting,4,Ignored,User banned
43,Certification course,Twitter,Pahang,2022,Offensive name-calling,6,Reported to platform,No action
34,High School,Other,Kuala Lumpur,2021,Sharing explicit images without consent,5,Blocked user,User banned
36,Bachelor's Degree,Instagram,Kelantan,2021,Comments about physical appearance,6,Reported to authorities,No action
34,Secondary School,TikTok,Sarawak,2019,Be mindful of sharing personal information,1,Blocked user,User banned
38,Bachelor's Degree,Bumble,Terengganu,2021,Making sexual jokes,1,Reported to authorities,No action
45,Bachelor's Degree,TikTok,Kuala Lumpur,2020,Sexting,8,Blocked user,User banned
41,Diploma,Bumble,Pahang,2020,Spreading sexual rumours,1,Blocked user,No action
44,High School,Other,Selangor,2019,Threat,3,Blocked user,still continues
19,High School,Twitter,Negeri Sembilan,2021,Stalking,9,Reported to platform,Warning issued
24,Certification course,Bumble,Selangor,2019,Offensive name-calling,1,Blocked user,User banned
36,Secondary School,Bumble,Perak,2019,Sexting,10,Reported to authorities,still continues
43,Bachelor's Degree,TikTok,Sarawak,2020,Unwanted flirting,1,Blocked user,still continues
36,Bachelor's Degree,Bumble,Kelantan,2021,Sexual photos,8,Blocked user,still continues
32,Certification course,WhatsApp,Sabah,2020,Sexual photos,9,Ignored,No action
43,Diploma,Other,Penang,2019,Making sexual jokes,5,Reported to platform,still continues
43,Certification course,Bumble,Penang,2021,Threat,6,Ignored,User banned
38,Diploma,WhatsApp,Kuala Lumpur,2021,Sexual photos,7,Reported to authorities,No action
41,Diploma,Facebook,Melaka,2021,Sexual photos,6,Ignored,still continues
45,Secondary School,Bumble,Perak,2018,Be mindful of sharing personal information,2,Reported to platform,Warning issued
26,High School,Facebook,Kedah,2020,Comments about physical appearance,1,Reported to authorities,Warning issued
42,Diploma,Other,Penang,2019,Requests for sex,1,Reported to authorities,Warning issued
33,Certification course,Bumble,Terengganu,2020,Sharing explicit images without consent,4,Blocked user,User banned
39,Diploma,Twitter,Negeri Sembilan,2022,Unwanted flirting,2,Ignored,No action
22,Secondary School,Bumble,Johor,2020,Comments about physical appearance,3,Blocked user,User banned
21,High School,Instagram,Perak,2019,Spreading sexual rumours,10,Reported to authorities,still continues
33,No Formal Education,Bumble,Johor,2019,Stalking,8,Ignored,still continues
19,Certification course,Bumble,Melaka,2022,Requests for sex,10,Blocked user,still continues
18,Certification course,Other,Terengganu,2021,Sharing explicit images without consent,3,Blocked user,User banned
28,Diploma,Other,Selangor,2019,Comments about physical appearance,2,Reported to authorities,No action
30,Diploma,Tinder,Sarawak,2021,Be mindful of sharing personal information,2,Reported to authorities,User banned
22,Certification course,Facebook,Kuala Lumpur,2020,Threat,2,Reported to authorities,No action
41,Bachelor's Degree,Tinder,Negeri Sembilan,2018,Stalking,3,Ignored,still continues
25,Secondary School,Facebook,Sabah,2019,Sexting,3,Reported to platform,still continues
41,Diploma,Tinder,Perak,2019,Sexting,12,Blocked user,still continues
29,Certification course,Bumble,Perak,2018,Making sexual jokes,11,Blocked user,No action
23,Certification course,WhatsApp,Sarawak,2021,discussing their own sex life,12,Blocked user,still continues
18,Certification course,Other,Terengganu,2019,discussing their own sex life,9,Reported to authorities,User banned
35,High School,Facebook,Sarawak,2021,discussing their own sex life,3,Ignored,No action
44,Diploma,Bumble,Terengganu,2022,Sexual photos,6,Ignored,User banned
41,Bachelor's Degree,WhatsApp,Kedah,2019,Sexual photos,9,Reported to authorities,still continues
24,No Formal Education,Other,Perak,2020,Making sexual jokes,3,Reported to platform,No action
28,Diploma,Other,Selangor,2021,Sexual photos,7,Ignored,Warning issued
20,High School,TikTok,Johor,2020,Unwanted flirting,2,Ignored,No action
36,Secondary School,Instagram,Kedah,2018,Spreading sexual rumours,2,Blocked user,still continues
41,Certification course,Twitter,Selangor,2020,discussing their own sex life,1,Ignored,User banned
36,No Formal Education,Facebook,Kelantan,2018,Indecent exposure,3,Ignored,User banned
41,Bachelor's Degree,WhatsApp,Sarawak,2020,Be mindful of sharing personal information,12,Reported to platform,still continues
20,Bachelor's Degree,Other,Penang,2021,Indecent exposure,6,Ignored,User banned
39,Diploma,Facebook,Sabah,2020,Requests for sex,12,Blocked user,No action
23,No Formal Education,Facebook,Kuala Lumpur,2019,Stalking,12,Reported to authorities,still continues
33,High School,WhatsApp,Penang,2021,Be mindful of sharing personal information,5,Ignored,No action
22,Diploma,TikTok,Kuala Lumpur,2022,Offensive name-calling,10,Reported to platform,No action
34,Diploma,Tinder,Sarawak,2021,discussing their own sex life,10,Blocked user,still continues
21,Diploma,TikTok,Pahang,2021,Stalking,3,Reported to platform,Warning issued
44,Certification course,Tinder,Sabah,2018,Comments about physical appearance,7,Blocked user,still continues
39,No Formal Education,Twitter,Kuala Lumpur,2018,Unwanted flirting,10,Blocked user,still continues
27,High School,Instagram,Perak,2019,Comments about physical appearance,8,Ignored,Warning issued
23,Diploma,Facebook,Negeri Sembilan,2021,Indecent exposure,7,Blocked user,No action
34,High School,Bumble,Kelantan,2020,Threat,3,Ignored,Warning issued
35,Bachelor's Degree,Instagram,Negeri Sembilan,2020,Be mindful of sharing personal information,1,Reported to authorities,Warning issued
28,High School,Twitter,Perlis,2020,Sexual photos,4,Blocked user,User banned
45,Secondary School,Bumble,Pahang,2018,Sharing explicit images without consent,9,Blocked user,User banned
44,Secondary School,Twitter,Penang,2019,Stalking,9,Reported to authorities,Warning issued
23,No Formal Education,Facebook,Sarawak,2022,Requests for sex,9,Reported to platform,User banned
41,High School,Facebook,Kelantan,2018,Spreading sexual rumours,7,Ignored,Warning issued
41,No Formal Education,Other,Negeri Sembilan,2021,Unwanted flirting,12,Ignored,Warning issued
45,Bachelor's Degree,Facebook,Pahang,2018,discussing their own sex life,7,Blocked user,No action
27,Secondary School,WhatsApp,Johor,2018,Making sexual jokes,12,Ignored,still continues
25,Diploma,Instagram,Kuala Lumpur,2020,Be mindful of sharing personal information,5,Blocked user,Warning issued
44,High School,WhatsApp,Selangor,2019,Be mindful of sharing personal information,9,Reported to platform,Warning issued
38,Bachelor's Degree,WhatsApp,Negeri Sembilan,2022,Be mindful of sharing personal information,11,Blocked user,Warning issued
18,Diploma,WhatsApp,Penang,2022,Threat,12,Reported to authorities,Warning issued
31,Certification course,TikTok,Sabah,2019,Indecent exposure,5,Ignored,still continues
19,No Formal Education,Instagram,Kuala Lumpur,2018,Threat,6,Blocked user,Warning issued
26,Bachelor's Degree,Twitter,Kuala Lumpur,2019,Sexual photos,10,Reported to platform,No action
33,High School,Bumble,Kuala Lumpur,2018,Spreading sexual rumours,5,Reported to platform,User banned
36,Secondary School,Facebook,Negeri Sembilan,2022,Unwanted flirting,7,Reported to authorities,still continues
39,Secondary School,Instagram,Penang,2022,Comments about physical appearance,5,Reported to platform,still continues
25,Bachelor's Degree,Bumble,Johor,2021,Sexual photos,9,Reported to platform,User banned
27,Bachelor's Degree,Tinder,Pahang,2019,Be mindful of sharing personal information,3,Reported to platform,still continues
22,Diploma,Facebook,Kuala Lumpur,2018,Sexting,6,Reported to platform,No action
38,Secondary School,Bumble,Kedah,2018,Sharing explicit images without consent,1,Reported to platform,User banned
22,Bachelor's Degree,Facebook,Selangor,2018,Spreading sexual rumours,3,Reported to platform,No action
40,Certification course,Other,Pahang,2019,Spreading sexual rumours,1,Reported to authorities,still continues
35,High School,Other,Melaka,2022,Spreading sexual rumours,12,Reported to platform,Warning issued
45,Diploma,Tinder,Melaka,2018,Making sexual jokes,9,Ignored,still continues
20,Secondary School,WhatsApp,Terengganu,2018,Offensive name-calling,3,Reported to authorities,User banned
35,Secondary School,TikTok,Kedah,2019,Be mindful of sharing personal information,11,Reported to platform,No action
28,High School,Other,Sabah,2020,Stalking,4,Reported to platform,Warning issued
39,No Formal Education,Twitter,Perlis,2018,Sexting,1,Reported to authorities,still continues
41,Certification course,Bumble,Johor,2020,Making sexual jokes,10,Blocked user,still continues
27,High School,Other,Sarawak,2021,Be mindful of sharing personal information,11,Blocked user,Warning issued
44,High School,Facebook,Sarawak,2020,Threat,12,Blocked user,No action
37,Diploma,Bumble,Kedah,2018,Indecent exposure,4,Reported to authorities,Warning issued
27,Secondary School,Tinder,Perlis,2020,Unwanted flirting,1,Reported to authorities,still continues
41,Diploma,TikTok,Perak,2022,Stalking,7,Ignored,No action
44,Diploma,Facebook,Penang,2021,Unwanted flirting,6,Ignored,Warning issued
38,Secondary School,TikTok,Terengganu,2018,Be mindful of sharing personal information,1,Ignored,Warning issued
40,Bachelor's Degree,WhatsApp,Melaka,2022,Sharing explicit images without consent,2,Reported to platform,No action
24,No Formal Education,Facebook,Penang,2022,Sexting,10,Reported to platform,No action
40,Certification course,WhatsApp,Penang,2021,Indecent exposure,4,Ignored,Warning issued
39,Diploma,Twitter,Penang,2019,Spreading sexual rumours,10,Reported to authorities,No action
31,No Formal Education,Twitter,Pahang,2020,Offensive name-calling,2,Ignored,No action
32,High School,Instagram,Johor,2021,Be mindful of sharing personal information,9,Reported to platform,still continues
18,Diploma,Facebook,Perlis,2022,Making sexual jokes,10,Blocked user,still continues
35,Bachelor's Degree,Tinder,Sarawak,2018,Requests for sex,12,Reported to platform,User banned
42,Diploma,Facebook,Selangor,2020,Sexual photos,1,Ignored,No action
39,Bachelor's Degree,Twitter,Pahang,2020,discussing their own sex life,5,Reported to platform,No action
45,Certification course,Bumble,Melaka,2021,Requests for sex,4,Reported to authorities,still continues
26,Diploma,Twitter,Perak,2021,Threat,9,Blocked user,No action
29,Certification course,Twitter,Negeri Sembilan,2018,Offensive name-calling,2,Reported to platform,still continues
42,Diploma,Bumble,Negeri Sembilan,2022,Sharing explicit images without consent,11,Blocked user,Warning issued
34,High School,Tinder,Kedah,2020,Unwanted flirting,10,Reported to platform,User banned
18,Secondary School,WhatsApp,Perak,2019,Unwanted flirting,8,Reported to authorities,still continues
37,High School,Bumble,Melaka,2022,Unwanted flirting,3,Blocked user,Warning issued
29,Diploma,WhatsApp,Johor,2019,Requests for sex,1,Reported to platform,User banned
44,Diploma,Facebook,Johor,2022,Offensive name-calling,12,Reported to platform,still continues
31,Certification course,Twitter,Kelantan,2018,Requests for sex,7,Blocked user,No action
33,Diploma,Other,Penang,2018,Be mindful of sharing personal information,10,Reported to platform,User banned
41,Bachelor's Degree,Tinder,Selangor,2021,Threat,7,Reported to authorities,User banned
22,High School,Facebook,Penang,2021,Spreading sexual rumours,12,Reported to platform,No action
42,Diploma,Other,Sabah,2018,Sexual photos,8,Reported to platform,No action
39,Diploma,Facebook,Melaka,2019,Stalking,3,Reported to platform,No action
20,No Formal Education,TikTok,Selangor,2021,Unwanted flirting,3,Blocked user,Warning issued
22,High School,Twitter,Penang,2021,discussing their own sex life,11,Reported to authorities,Warning issued
37,Certification course,TikTok,Kuala Lumpur,2019,Be mindful of sharing personal information,11,Blocked user,still continues
22,No Formal Education,Facebook,Melaka,2018,Offensive name-calling,2,Blocked user,still continues
40,Diploma,TikTok,Sabah,2021,Be mindful of sharing personal information,4,Blocked user,No action
19,Bachelor's Degree,WhatsApp,Kuala Lumpur,2020,Threat,9,Reported to authorities,No action
43,High School,Tinder,Pahang,2018,Indecent exposure,9,Reported to platform,No action
36,High School,Tinder,Negeri Sembilan,2018,Comments about physical appearance,1,Ignored,Warning issued
21,Diploma,WhatsApp,Kelantan,2020,Making sexual jokes,1,Reported to platform,No action
20,No Formal Education,Facebook,Penang,2020,Be mindful of sharing personal information,1,Reported to authorities,still continues
19,High School,Bumble,Johor,2020,Requests for sex,10,Reported to platform,still continues
42,Secondary School,Instagram,Sarawak,2018,Making sexual jokes,12,Ignored,Warning issued
24,Certification course,Twitter,Kelantan,2022,Making sexual jokes,8,Blocked user,still continues
26,Diploma,Bumble,Perak,2022,Sexting,6,Reported to authorities,User banned
44,Secondary School,TikTok,Terengganu,2022,Unwanted flirting,12,Blocked user,User banned
34,High School,Other,Kedah,2021,Stalking,8,Reported to platform,Warning issued
44,Certification course,Instagram,Negeri Sembilan,2019,discussing their own sex life,1,Ignored,No action
35,Certification course,Instagram,Perak,2022,Be mindful of sharing personal information,11,Blocked user,Warning issued
29,No Formal Education,Facebook,Terengganu,2018,Comments about physical appearance,3,Blocked user,No action
27,Diploma,WhatsApp,Kuala Lumpur,2018,discussing their own sex life,6,Ignored,still continues
37,Diploma,Instagram,Sarawak,2022,discussing their own sex life,1,Reported to authorities,User banned
38,No Formal Education,Instagram,Kedah,2018,discussing their own sex life,10,Blocked user,No action
43,Secondary School,Instagram,Pahang,2020,Stalking,11,Blocked user,User banned
36,High School,Other,Terengganu,2019,Threat,5,Reported to authorities,still continues
32,High School,Instagram,Kedah,2020,Stalking,5,Reported to authorities,No action
41,Certification course,Twitter,Kuala Lumpur,2020,Indecent exposure,10,Reported to authorities,User banned
25,High School,Bumble,Melaka,2021,Threat,5,Blocked user,Warning issued
36,Secondary School,WhatsApp,Penang,2018,Requests for sex,4,Reported to authorities,User banned
26,Bachelor's Degree,WhatsApp,Sabah,2018,Offensive name-calling,9,Ignored,Warning issued
39,Bachelor's Degree,Tinder,Perak,2018,Sexting,11,Blocked user,User banned
29,Certification course,Twitter,Kuala Lumpur,2022,Unwanted flirting,12,Ignored,No action
28,Certification course,WhatsApp,Melaka,2022,Offensive name-calling,1,Reported to platform,No action
26,Secondary School,Tinder,Terengganu,2019,Indecent exposure,4,Reported to authorities,still continues
41,Certification course,WhatsApp,Penang,2021,Threat,7,Reported to authorities,still continues
40,Certification course,TikTok,Terengganu,2019,Threat,6,Reported to platform,No action
25,Diploma,WhatsApp,Terengganu,2019,Sharing explicit images without consent,12,Reported to authorities,still continues
20,High School,Bumble,Perak,2020,Be mindful of sharing personal information,10,Reported to authorities,still continues
45,Certification course,Facebook,Perak,2020,Sexual photos,12,Ignored,No action
22,Certification course,TikTok,Melaka,2019,Making sexual jokes,9,Ignored,Warning issued
25,Bachelor's Degree,Facebook,Sarawak,2022,discussing their own sex life,1,Blocked user,No action
33,Bachelor's Degree,Bumble,Kuala Lumpur,2019,Making sexual jokes,2,Reported to platform,No action
24,Secondary School,Other,Perak,2020,Requests for sex,5,Ignored,Warning issued
39,No Formal Education,WhatsApp,Perak,2018,Sexting,7,Blocked user,User banned
41,High School,Bumble,Sarawak,2019,Sharing explicit images without consent,12,Ignored,User banned
43,Bachelor's Degree,WhatsApp,Kelantan,2021,Threat,11,Reported to authorities,still continues
33,Bachelor's Degree,TikTok,Sabah,2022,Indecent exposure,9,Reported to authorities,still continues
31,High School,TikTok,Sabah,2019,Stalking,10,Reported to authorities,No action
45,Bachelor's Degree,Twitter,Perlis,2019,Threat,3,Blocked user,User banned
32,Bachelor's Degree,Instagram,Perlis,2021,Making sexual jokes,3,Ignored,User banned
37,Certification course,Instagram,Johor,2020,Requests for sex,11,Reported to authorities,No action
34,No Formal Education,Instagram,Melaka,2018,Spreading sexual rumours,11,Ignored,User banned
38,Secondary School,Bumble,Negeri Sembilan,2020,Unwanted flirting,12,Blocked user,Warning issued
34,Certification course,WhatsApp,Kelantan,2022,Comments about physical appearance,10,Ignored,User banned
33,Diploma,Tinder,Selangor,2019,discussing their own sex life,8,Blocked user,No action
40,Bachelor's Degree,Tinder,Pahang,2021,Threat,7,Ignored,User banned
29,Bachelor's Degree,Other,Negeri Sembilan,2019,Threat,10,Reported to authorities,No action
20,High School,Bumble,Negeri Sembilan,2021,Sexting,4,Reported to authorities,Warning issued
19,Bachelor's Degree,WhatsApp,Sarawak,2020,discussing their own sex life,1,Ignored,still continues
43,Bachelor's Degree,Bumble,Kedah,2018,Making sexual jokes,11,Reported to platform,still continues
